"","muestras"
"179",34674
"180",41619
"181",37549
"182",6736
"183",10863
"184",4282
"185",3420
"186",37243
"187",37177
"188",21027
"189",42203
"190",3652
"191",2204
"192",36762
"193",37256
"194",455
"195",39675
"196",13271
"197",13145
"198",21679
"199",24277
"200",1437
"201",24227
"202",551
"203",36952
"204",8624
"205",8514
"206",6714
"207",35760
"208",37377
"209",1473
"210",14059
"211",25341
"212",16245
"213",9106
"214",6055
"215",40623
"216",32324
"217",8546
"218",36029
"219",33191
"220",35110
"221",540
"222",1670
"223",39244
"224",1149
"225",3153
"226",9121
"227",37769
"228",2174
"229",10528
"230",40729
"231",8017
"232",8897
"233",37884
"234",6573
"235",41923
"236",34019
"237",2746
"238",95
"239",1959
"240",2598
"241",1111
"242",5296
"243",38600
"244",4933
"245",36316
"246",30412
"247",4196
"248",30757
"249",21677
"250",35204
"251",9881
"252",6062
"253",40179
"254",6171
"255",33050
"256",37932
"257",8277
"258",1231
"259",18309
"260",29975
"261",21511
"262",1862
"263",36475
"264",35386
"265",32271
"266",1091
"267",4391
"268",252
"269",24527
"270",1080
"271",6331
"272",12763
"273",33433
"274",11021
"275",29782
"276",10466
"277",37764
"278",33720
"279",2106
"280",9972
"281",8584
"282",91
"283",35949
"284",560
"285",1299
"286",8800
"287",36369
"288",10581
"289",9135
"290",1262
"291",41265
"292",8888
"293",820
"294",2064
"295",632
"296",1285
"297",529
"298",3089
"299",24133
"300",893
"301",599
"302",6016
"303",267
"304",1599
"305",10250
"306",24347
"307",8921
"308",36946
"309",18447
"310",33027
"311",10592
"312",22777
"313",2322
"314",37885
"315",4808
"316",5691
"317",204
"318",14527
"319",36456
"320",23115
"321",5053
"322",1268
"323",3099
"324",1956
"325",24439
"326",42825
"327",904
"328",2025
"329",3154
"330",100
"331",3522
"332",4967
"333",23935
"334",892
"335",5810
"336",8249
"337",34430
"338",1857
"339",1119
"340",33538
"341",30931
"342",25883
"343",33894
"344",1132
"345",18041
"346",35263
"347",38469
"348",13931
"349",1116
"350",1245
"351",37970
"352",2167
"353",35026
"354",33302
"355",10375
"356",9990
"357",32949
"358",2904
"359",34777
"360",31988
"361",26091
"362",1659
"363",28583
"364",2493
"365",41769
"366",852
"367",39022
"368",46471
"369",7610
"370",34325
"371",31672
"372",20479
"373",2182
"374",9924
"375",12487
"376",34445
"377",33183
"378",33133
"379",8149
"380",24543
"381",1744
"382",2677
"383",36927
"384",38891
"385",15015
"386",38985
"387",39063
"388",37051
"389",33309
"390",36144
"391",32437
"392",36805
"393",10534
"394",32105
"395",241
"396",356
"397",33583
"398",2223
"399",21833
"400",23801
"401",658
"402",42168
"403",35635
"404",36038
"405",5082
"406",38784
"407",48
"408",38276
"409",39622
"410",35905
"411",35265
"412",37278
"413",36018
"414",34939
"415",30039
"416",38683
"417",39473
"418",41380
"419",482
"420",34514
"421",17291
"422",37684
"423",38534
"424",38627
"425",33690
"426",15611
"427",42916
"428",40301
"429",10869
"430",645
"431",299
"432",33755
"433",39763
"434",43703
"435",6965
"436",2579
"437",14837
"438",6951
"439",47160
"440",2980
"441",606
"442",36587
"443",6375
"444",6
"445",3271
"446",902
"447",37905
"448",40030
"449",22547
"450",19781
"451",1122
"452",12887
"453",24047
"454",8109
"455",37902
"456",4801
"457",1076
"458",1626
"459",1325
"460",9324
"461",8285
"462",1855
"463",8900
"464",9988
"465",37207
"466",30014
"467",1211
"468",4508
"469",31733
"470",445
"471",1189
"472",18841
"473",37826
"474",6479
"475",22101
"476",12673
"477",23441
"478",10447
"479",733
"480",79
"481",313
"482",1218
"483",20541
"484",8533
"485",1914
"486",2034
"487",1817
"488",8889
"489",2825
"490",38436
"491",10012
"492",1162
"493",25157
"494",4104
"495",21599
"496",10209
"497",9888
"498",8490
"499",5150
"500",35413
"501",8795
"502",7579
"503",654
"504",454
"505",2827
"506",1110
"507",4154
"508",12499
"509",5833
"510",749
"511",18683
"512",16894
"513",1171
"514",32400
"515",2024
"516",516
"517",660
"518",10533
"519",5278
"520",42181
"521",1194
"522",15043
"523",9446
"524",30166
"525",5772
"526",2460
"527",2726
"528",38091
"529",13715
"530",2155
"531",36914
"532",27663
"533",34764
"534",37614
"535",20473
"536",6347
"537",28915
"538",19429
"539",11843
"540",5353
"541",16742
"542",39388
"543",40936
"544",30230
"545",3692
"546",37657
"547",21055
"548",9181
"549",12505
"550",3674
"551",30240
"552",38622
"553",30489
"554",24415
"555",32483
"556",37607
"557",1890
"558",16131
"559",16335
"560",19171
"561",19653
"562",20035
"563",36436
"564",34604
"565",18247
"566",10801
"567",7113
"568",1705
"569",4672
"570",37448
"571",30483
"572",2604
"573",278
"574",29233
"575",38120
"576",33512
"577",652
"578",3490
"579",4334
"580",3446
"581",544
"582",1314
"583",12783
"584",561
"585",4232
"586",2169
"587",34238
"588",35143
"589",13507
"590",31494
"591",32553
"592",1503
"593",40342
"594",12255
"595",30831
"596",18713
"597",32122
"598",28813
"599",306
"600",36132
"601",31158
"602",12181
"603",38433
"604",4163
"605",35631
"606",33119
"607",42697
"608",41112
"609",2840
"610",35501
"611",4150
"612",5521
"613",33392
"614",37115
"615",16183
"616",37706
"617",34355
"618",38864
"619",13693
"620",37664
"621",10519
"622",35652
"623",2605
"624",40459
"625",31517
"626",37034
"627",4939
"628",37665
"629",1769
"630",2258
"631",2832
"632",1241
"633",10263
"634",4244
"635",3098
"636",1819
"637",1850
"638",1631
"639",27907
"640",32385
"641",16562
"642",17187
"643",2747
"644",3146
"645",6800
"646",34104
"647",8853
"648",1312
"649",2795
"650",8839
"651",1298
"652",30840
"653",39841
"654",4596
"655",3772
"656",17965
"657",39324
"658",38925
"659",20081
"660",36704
"661",39545
"662",31753
"663",20931
"664",9344
"665",10511
"666",33669
"667",22503
"668",32806
"669",36265
"670",1689
"671",488
"672",15313
"673",963
"674",23285
"675",18629
"676",40197
"677",38993
"678",33094
"679",26163
"680",34481
"681",40660
"682",44586
"683",31107
"684",20755
"685",951
"686",38354
"687",2771
"688",36622
"689",5492
"690",2830
"691",20127
"692",6657
"693",6779
"694",32160
"695",1045
"696",3838
"697",12049
"698",8217
"699",18827
"700",812
"701",10732
"702",2367
"703",33489
"704",1570
"705",9611
"706",34812
"707",30156
"708",22043
"709",27951
"710",1957
"711",12221
"712",24727
"713",15479
"714",6811
"715",17419
"716",15307
"717",3388
"718",8465
"719",11773
"720",604
"721",39697
"722",16694
"723",5034
"724",666
"725",2745
"726",1336
"727",8194
"728",8152
"729",31634
"730",1338
"731",41124
"732",38902
"733",22977
"734",33103
"735",618
"736",27899
"737",1192
"738",38348
"739",4082
"740",3258
"741",38668
"742",38368
"743",33042
"744",28951
"745",8920
"746",34060
"747",11077
"748",41053
"749",3130
"750",40333
"751",11411
"752",2178
"753",1573
"754",169
"755",620
"756",35140
"757",9829
"758",10083
"759",6271
"760",2262
"761",31430
"762",621
"763",23765
"764",3176
"765",1380
"766",3603
"767",384
"768",1177
"769",11915
"770",33814
"771",10521
"772",30740
"773",10905
"774",1836
"775",19135
"776",9421
"777",4320
"778",37799
"779",22057
"780",30952
"781",39574
"782",3853
"783",34244
"784",24695
"785",5670
"786",7651
"787",34525
"788",6758
"789",9496
"790",22831
"791",18003
"792",35180
"793",18139
"794",40082
"795",1519
"796",31777
"797",23383
"798",11777
"799",39610
"800",31883
"801",15565
"802",1903
"803",7740
"804",9202
"805",9515
"806",4166
"807",7817
"808",8464
"809",10628
"810",1602
"811",7088
"812",34999
"813",26085
"814",28285
"815",8302
"816",31845
"817",30749
"818",4195
"819",8041
"820",37449
"821",39397
"822",12293
"823",21863
"824",10845
"825",3085
"826",15095
"827",5025
"828",10016
"829",3475
"830",40320
"831",39555
"832",2683
"833",33589
"834",20873
"835",8216
"836",41802
"837",5386
"838",4856
"839",882
"840",1011
"841",11761
"842",44196
"843",39188
"844",6056
"845",257
"846",37822
"847",5496
"848",25389
"849",7363
"850",44513
"851",967
"852",1766
"853",38467
"854",37150
"855",33925
"856",33485
"857",22145
"858",42319
"859",32415
"860",6971
"861",9731
"862",3913
"863",11083
"864",25681
"865",19157
"866",42894
"867",612
"868",26331
"869",18055
"870",19383
"871",22511
"872",39474
"873",15809
"874",39811
"875",31098
"876",1556
"877",2355
"878",41383
"879",36951
"880",7435
"881",39972
"882",37729
"883",21729
"884",10479
"885",129
"886",31676
"887",11266
"888",12729
"889",36654
"890",41877
"891",35952
"892",131
"893",1225
"894",35048
"895",40780
"896",1384
"897",941
"898",2592
"899",12483
"900",31181
"901",1806
"902",29974
"903",9750
"904",32790
"905",31378
"906",2993
"907",600
"908",777
"909",343
"910",27
"911",9260
"912",4853
"913",4420
"914",36803
"915",37997
"916",14117
"917",3801
"918",10197
"919",6747
"920",31757
"921",41833
"922",11795
"923",11005
"924",42854
"925",31689
"926",42246
"927",42278
"928",39452
"929",7020
"930",31688
"931",31582
"932",2580
"933",39623
"934",22179
"935",38861
"936",42274
"937",9801
"938",31258
"939",13405
"940",34718
"941",30669
"942",40002
"943",29383
"944",31269
"945",42247
"946",35450
"947",42276
"948",38862
"949",38748
"950",28953
"951",38873
"952",38504
"953",35714
"954",20855
"955",39000
"956",31759
"957",43293
"958",4460
"959",39257
"960",45616
"961",40817
"962",29771
"963",875
"964",38501
"965",42271
"966",29764
"967",48488
"968",30329
"969",29985
"970",7939
"971",40003
"972",7810
"973",29949
"974",28149
"975",15527
"976",38090
"977",30424
"978",40794
"979",38496
"980",36675
"981",33906
"982",40877
"983",34911
"984",40462
"985",33898
"986",37867
"987",39082
"988",30241
"989",36079
"990",33788
"991",122
"992",7295
"993",34973
"994",35119
"995",41684
"996",13857
"997",38326
"998",29177
"999",31989
"1000",40252
"1001",40844
"1002",36348
"1003",33886
"1004",37370
"1005",39275
"1006",37588
"1007",41808
"1008",37528
"1009",40360
"1010",36631
"1011",6399
"1012",38043
"1013",36069
"1014",40683
"1015",4713
"1016",31797
"1017",10719
"1018",1579
"1019",18897
"1020",10790
"1021",649
"1022",788
"1023",31178
"1024",1840
"1025",5781
"1026",25437
"1027",668
"1028",6165
"1029",260
"1030",6512
"1031",1692
"1032",30544
"1033",31861
"1034",38707
"1035",9385
"1036",1155
"1037",1553
"1038",32898
"1039",12951
"1040",30481
"1041",3079
"1042",2669
"1043",396
"1044",5990
"1045",85
"1046",22687
"1047",6513
"1048",1
"1049",16814
"1050",6078
"1051",1000
"1052",22689
"1053",20057
"1054",13427
"1055",38407
"1056",1227
"1057",40430
"1058",3964
"1059",474
"1060",34832
"1061",4650
"1062",16778
"1063",11357
"1064",30634
"1065",33024
"1066",3256
"1067",34153
"1068",33205
"1069",31454
"1070",25839
"1071",20709
"1072",42938
"1073",3285
"1074",38578
"1075",1904
"1076",29363
"1077",3754
"1078",647
"1079",20587
"1080",334
"1081",10549
"1082",3470
"1083",10821
"1084",6117
"1085",44081
"1086",1207
"1087",14181
"1088",11547
"1089",11665
"1090",2800
"1091",8768
"1092",123
"1093",28669
"1094",232
"1095",33203
"1096",15127
"1097",4927
"1098",26145
"1099",31339
"1100",5854
"1101",35092
"1102",26137
"1103",8337
"1104",27575
"1105",31785
"1106",39091
"1107",42465
"1108",10014
"1109",38360
"1110",37176
"1111",33850
"1112",10236
"1113",7904
"1114",24701
"1115",19971
"1116",4470
"1117",21821
"1118",10112
"1119",7045
"1120",39634
"1121",1371
"1122",8896
"1123",45
"1124",40909
"1125",2500
"1126",37584
"1127",4485
"1128",30173
"1129",36729
"1130",247
"1131",26297
"1132",9525
"1133",39419
"1134",36127
"1135",30968
"1136",3280
"1137",10554
"1138",18619
"1139",18617
"1140",34178
"1141",1395
"1142",3275
"1143",19671
"1144",22197
"1145",5996
"1146",22609
"1147",170
"1148",34239
"1149",18177
"1150",20237
"1151",995
"1152",32881
"1153",35574
"1154",18339
"1155",22265
"1156",18063
"1157",1190
"1158",36811
"1159",3887
"1160",857
"1161",3137
"1162",6840
"1163",1186
"1164",1669
"1165",33533
"1166",18341
"1167",40651
"1168",48456
"1169",32871
"1170",37206
"1171",40323
"1172",35834
"1173",34721
"1174",32298
"1175",26209
"1176",7588
"1177",36395
"1178",13119
"1179",2238
"1180",581
"1181",21497
"1182",39762
"1183",38059
"1184",37622
"1185",33775
"1186",6616
"1187",2694
"1188",34096
"1189",15335
"1190",7472
"1191",2591
"1192",32248
"1193",36583
"1194",8500
"1195",1267
"1196",10465
"1197",28977
"1198",17505
"1199",13307
"1200",419
"1201",5631
"1202",7052
"1203",11663
"1204",10483
"1205",4664
"1206",10643
"1207",28235
"1208",33032
"1209",25985
"1210",44376
"1211",25973
"1212",39685
"1213",40377
"1214",25805
"1215",15915
"1216",26101
"1217",29419
"1218",35127
"1219",2665
"1220",29863
"1221",22279
"1222",10237
"1223",21019
"1224",39869
"1225",16570
"1226",28119
"1227",32621
"1228",36279
"1229",41522
"1230",22623
"1231",32225
"1232",4910
"1233",35102
"1234",5267
"1235",41638
"1236",34511
"1237",27457
"1238",1445
"1239",32660
"1240",20125
"1241",34625
"1242",38525
"1243",3800
"1244",6675
"1245",3571
"1246",31898
"1247",19613
"1248",37695
"1249",32058
"1250",35642
"1251",187
"1252",38379
"1253",38612
"1254",3808
"1255",38378
"1256",37142
"1257",34310
"1258",4103
"1259",28881
"1260",9646
"1261",33124
"1262",38526
"1263",40532
"1264",20355
"1265",35033
"1266",3434
"1267",38075
