"","muestras"
"179",6114
"180",1346
"181",8278
"182",39905
"183",4039
"184",7724
"185",3652
"186",42985
"187",42290
"188",11979
"189",47616
"190",30484
"191",11701
"192",6624
"193",41619
"194",28673
"195",38461
"196",11977
"197",39607
"198",32553
"199",3958
"200",1016
"201",10418
"202",589
"203",39414
"204",1069
"205",2322
"206",2654
"207",15925
"208",34604
"209",10732
"210",11917
"211",207
"212",9857
"213",18305
"214",35789
"215",39960
"216",33302
"217",17741
"218",1707
"219",33708
"220",36022
"221",1144
"222",35760
"223",287
"224",2565
"225",4031
"226",39244
"227",4876
"228",11837
"229",31339
"230",3183
"231",37555
"232",16468
"233",3786
"234",15651
"235",38431
"236",1090
"237",36592
"238",4938
"239",7156
"240",3525
"241",32927
"242",218
"243",37823
"244",10465
"245",801
"246",33010
"247",40729
"248",2383
"249",39221
"250",4509
"251",2461
"252",1620
"253",1944
"254",10161
"255",7160
"256",36871
"257",3599
"258",9252
"259",38444
"260",7523
"261",569
"262",18007
"263",14173
"264",18619
"265",38004
"266",1270
"267",17080
"268",32615
"269",37704
"270",30711
"271",35730
"272",2061
"273",2581
"274",33757
"275",1938
"276",493
"277",29777
"278",26085
"279",42323
"280",12337
"281",467
"282",37362
"283",277
"284",83
"285",37979
"286",1168
"287",15199
"288",1862
"289",7222
"290",8840
"291",632
"292",46604
"293",12115
"294",5157
"295",81
"296",9566
"297",4534
"298",10294
"299",16808
"300",38481
"301",462
"302",11099
"303",19123
"304",9745
"305",10793
"306",35984
"307",40182
"308",40028
"309",31553
"310",14647
"311",36945
"312",31478
"313",3630
"314",8921
"315",38537
"316",30025
"317",19535
"318",7953
"319",34944
"320",13433
"321",3235
"322",14467
"323",14267
"324",5079
"325",20543
"326",10686
"327",37806
"328",1468
"329",38129
"330",5356
"331",39634
"332",7505
"333",40427
"334",52
"335",31173
"336",17959
"337",35964
"338",29829
"339",556
"340",2218
"341",37597
"342",5200
"343",36370
"344",1082
"345",42091
"346",1579
"347",38921
"348",23303
"349",2621
"350",39077
"351",43763
"352",4908
"353",3854
"354",39264
"355",12859
"356",2009
"357",32551
"358",9163
"359",34712
"360",32174
"361",40590
"362",6937
"363",1187
"364",5933
"365",9433
"366",6701
"367",33846
"368",427
"369",387
"370",45040
"371",32534
"372",19099
"373",1123
"374",14957
"375",37254
"376",36688
"377",21953
"378",7031
"379",27373
"380",3576
"381",1224
"382",2772
"383",15751
"384",32697
"385",14181
"386",6883
"387",40487
"388",3099
"389",36805
"390",1161
"391",2574
"392",32288
"393",9982
"394",42500
"395",553
"396",38681
"397",36474
"398",40823
"399",2789
"400",5151
"401",38024
"402",38386
"403",46488
"404",40145
"405",32802
"406",7334
"407",9539
"408",38361
"409",30292
"410",41405
"411",37028
"412",15219
"413",37263
"414",12243
"415",31953
"416",34933
"417",36639
"418",41283
"419",40143
"420",34161
"421",33197
"422",36043
"423",7960
"424",10301
"425",35180
"426",11375
"427",9947
"428",16021
"429",6156
"430",2031
"431",906
"432",3036
"433",1478
"434",4851
"435",19645
"436",13231
"437",2263
"438",30530
"439",13255
"440",42132
"441",633
"442",1706
"443",8490
"444",859
"445",2817
"446",16389
"447",2793
"448",41439
"449",10701
"450",40567
"451",2456
"452",12135
"453",3153
"454",40454
"455",2068
"456",17457
"457",21877
"458",34055
"459",12531
"460",531
"461",34822
"462",36840
"463",46422
"464",824
"465",36491
"466",1141
"467",18053
"468",1799
"469",1905
"470",1817
"471",696
"472",30647
"473",33852
"474",3318
"475",31797
"476",38098
"477",9988
"478",19685
"479",34209
"480",3497
"481",625
"482",15391
"483",10719
"484",62
"485",2180
"486",16936
"487",30600
"488",28179
"489",23251
"490",2463
"491",39995
"492",5332
"493",32175
"494",2535
"495",24447
"496",34794
"497",15873
"498",6431
"499",10059
"500",18429
"501",2827
"502",21549
"503",23617
"504",100
"505",7124
"506",5957
"507",555
"508",22711
"509",23425
"510",3292
"511",6112
"512",31150
"513",28861
"514",11521
"515",1756
"516",2417
"517",2403
"518",28237
"519",5962
"520",41008
"521",2050
"522",2499
"523",11739
"524",26213
"525",1559
"526",28883
"527",17641
"528",26183
"529",16740
"530",6311
"531",19619
"532",8538
"533",35522
"534",9345
"535",31498
"536",125
"537",35000
"538",19351
"539",22377
"540",39196
"541",13139
"542",33570
"543",7645
"544",20583
"545",6203
"546",22993
"547",22663
"548",36468
"549",3464
"550",30415
"551",39792
"552",39617
"553",40885
"554",9781
"555",2589
"556",94
"557",5133
"558",1923
"559",10666
"560",5164
"561",1598
"562",23725
"563",2255
"564",37277
"565",33697
"566",5505
"567",9618
"568",5270
"569",39056
"570",2250
"571",4119
"572",8250
"573",6947
"574",3098
"575",23327
"576",34532
"577",1177
"578",5311
"579",19855
"580",2973
"581",34244
"582",1448
"583",11087
"584",2695
"585",953
"586",36761
"587",33258
"588",19165
"589",21277
"590",921
"591",4130
"592",28385
"593",31158
"594",1502
"595",38040
"596",28815
"597",34355
"598",34356
"599",3221
"600",7915
"601",17707
"602",5060
"603",20603
"604",30013
"605",31997
"606",23607
"607",38705
"608",30753
"609",2280
"610",6234
"611",34336
"612",7175
"613",46735
"614",5909
"615",3100
"616",14073
"617",37036
"618",7568
"619",1596
"620",9861
"621",33196
"622",306
"623",41054
"624",16526
"625",12823
"626",4469
"627",12991
"628",11717
"629",7540
"630",6032
"631",3508
"632",2713
"633",764
"634",4242
"635",18301
"636",4385
"637",2090
"638",4386
"639",39102
"640",21433
"641",37760
"642",16554
"643",2600
"644",2583
"645",2448
"646",3294
"647",1819
"648",10949
"649",29876
"650",30840
"651",1179
"652",2176
"653",14529
"654",35137
"655",38174
"656",6636
"657",31564
"658",38295
"659",32013
"660",35198
"661",20931
"662",2553
"663",40620
"664",3878
"665",37543
"666",33941
"667",17237
"668",8603
"669",4782
"670",30652
"671",30148
"672",39436
"673",33362
"674",39620
"675",31919
"676",36162
"677",31080
"678",27789
"679",34358
"680",19849
"681",11843
"682",20221
"683",23741
"684",44376
"685",29361
"686",39468
"687",40197
"688",25085
"689",31560
"690",2580
"691",509
"692",34745
"693",4421
"694",146
"695",6741
"696",18851
"697",23555
"698",42030
"699",2278
"700",2948
"701",1990
"702",42373
"703",37300
"704",6050
"705",41573
"706",32707
"707",512
"708",21407
"709",1240
"710",42842
"711",38268
"712",505
"713",273
"714",39697
"715",10217
"716",6368
"717",30732
"718",18329
"719",34129
"720",41504
"721",1494
"722",28623
"723",1343
"724",42976
"725",1705
"726",9544
"727",22055
"728",1628
"729",48425
"730",9882
"731",33814
"732",3446
"733",2130
"734",2261
"735",6016
"736",35060
"737",8227
"738",1556
"739",33357
"740",39675
"741",24765
"742",28087
"743",14117
"744",10681
"745",19383
"746",32438
"747",42014
"748",41096
"749",8157
"750",4082
"751",228
"752",665
"753",38181
"754",23351
"755",8150
"756",5554
"757",41053
"758",17405
"759",3625
"760",1269
"761",3595
"762",4581
"763",413
"764",36266
"765",998
"766",842
"767",8081
"768",22053
"769",41325
"770",6885
"771",15911
"772",8359
"773",23269
"774",41750
"775",16732
"776",12321
"777",24695
"778",382
"779",7593
"780",9934
"781",18003
"782",2100
"783",32321
"784",35284
"785",24275
"786",30379
"787",32571
"788",40591
"789",1910
"790",1761
"791",39808
"792",3243
"793",31430
"794",38864
"795",8363
"796",2419
"797",25719
"798",9479
"799",791
"800",14827
"801",321
"802",180
"803",112
"804",591
"805",28979
"806",4760
"807",36792
"808",297
"809",30240
"810",37449
"811",4688
"812",1185
"813",2525
"814",34314
"815",330
"816",7897
"817",8361
"818",36198
"819",59
"820",2730
"821",9201
"822",5877
"823",28227
"824",964
"825",12449
"826",48097
"827",1822
"828",4999
"829",4663
"830",23647
"831",11255
"832",29235
"833",9324
"834",37937
"835",47044
"836",39371
"837",3027
"838",883
"839",40269
"840",37563
"841",3509
"842",42498
"843",39141
"844",2523
"845",35650
"846",174
"847",9367
"848",40732
"849",36910
"850",2083
"851",10017
"852",2905
"853",12231
"854",40652
"855",28539
"856",33
"857",31050
"858",44412
"859",6971
"860",31537
"861",37641
"862",39480
"863",48418
"864",37559
"865",10350
"866",3359
"867",37719
"868",16692
"869",39274
"870",41402
"871",30571
"872",300
"873",33213
"874",33731
"875",1818
"876",48426
"877",7170
"878",1805
"879",31098
"880",535
"881",12113
"882",36135
"883",42894
"884",29679
"885",40456
"886",30363
"887",31147
"888",36561
"889",28115
"890",37729
"891",1726
"892",4752
"893",29974
"894",21831
"895",37569
"896",48471
"897",41265
"898",17513
"899",3603
"900",34751
"901",6904
"902",39990
"903",31378
"904",1489
"905",17074
"906",40486
"907",27417
"908",169
"909",11633
"910",35823
"911",22983
"912",37364
"913",9750
"914",8211
"915",258
"916",39518
"917",36803
"918",690
"919",18277
"920",405
"921",39421
"922",41227
"923",39541
"924",22167
"925",601
"926",35707
"927",42248
"928",34631
"929",29629
"930",31265
"931",22171
"932",30666
"933",39650
"934",38969
"935",8079
"936",39452
"937",7243
"938",30335
"939",30863
"940",38876
"941",42989
"942",40721
"943",30665
"944",39540
"945",40237
"946",34851
"947",3326
"948",437
"949",40673
"950",38878
"951",30336
"952",35406
"953",43293
"954",29772
"955",44059
"956",7844
"957",38504
"958",35732
"959",29952
"960",35714
"961",29957
"962",30667
"963",40816
"964",41745
"965",38977
"966",13405
"967",41444
"968",41443
"969",30408
"970",29768
"971",29986
"972",42275
"973",42590
"974",38051
"975",1399
"976",36821
"977",38913
"978",37552
"979",40715
"980",15653
"981",28647
"982",40523
"983",32760
"984",38960
"985",32219
"986",12101
"987",30077
"988",38854
"989",29764
"990",42958
"991",37336
"992",40509
"993",41685
"994",34915
"995",36360
"996",36136
"997",34802
"998",34936
"999",40600
"1000",40686
"1001",38321
"1002",40690
"1003",39257
"1004",40703
"1005",31780
"1006",39609
"1007",39207
"1008",23799
"1009",36600
"1010",38856
"1011",32836
"1012",20045
"1013",14967
"1014",9958
"1015",993
"1016",23309
"1017",685
"1018",3615
"1019",24451
"1020",44203
"1021",12711
"1022",30727
"1023",32262
"1024",4662
"1025",40097
"1026",53
"1027",2536
"1028",19163
"1029",17621
"1030",35691
"1031",10351
"1032",90
"1033",39506
"1034",37071
"1035",5322
"1036",34391
"1037",6511
"1038",33025
"1039",42886
"1040",16786
"1041",1901
"1042",398
"1043",1101
"1044",3964
"1045",13427
"1046",34832
"1047",23829
"1048",4773
"1049",36371
"1050",38498
"1051",3675
"1052",2002
"1053",20057
"1054",40055
"1055",40554
"1056",33541
"1057",2669
"1058",16696
"1059",1133
"1060",91
"1061",1737
"1062",19825
"1063",1458
"1064",1968
"1065",2549
"1066",4190
"1067",4080
"1068",2093
"1069",22745
"1070",18055
"1071",16928
"1072",1929
"1073",353
"1074",14713
"1075",31485
"1076",19467
"1077",4928
"1078",9862
"1079",16868
"1080",723
"1081",40024
"1082",585
"1083",2096
"1084",11569
"1085",24501
"1086",23177
"1087",37398
"1088",2040
"1089",38578
"1090",1838
"1091",1904
"1092",2576
"1093",2559
"1094",21081
"1095",31128
"1096",26275
"1097",30975
"1098",25069
"1099",23583
"1100",30072
"1101",28553
"1102",44065
"1103",27579
"1104",3488
"1105",31893
"1106",28427
"1107",6007
"1108",3835
"1109",1441
"1110",37280
"1111",20713
"1112",40909
"1113",36655
"1114",42863
"1115",4132
"1116",11561
"1117",26197
"1118",26101
"1119",30983
"1120",44078
"1121",32920
"1122",1206
"1123",28607
"1124",28283
"1125",36556
"1126",33433
"1127",6688
"1128",1914
"1129",9866
"1130",25063
"1131",38067
"1132",7793
"1133",2402
"1134",9748
"1135",24713
"1136",22673
"1137",11689
"1138",21755
"1139",263
"1140",40651
"1141",22197
"1142",32835
"1143",11857
"1144",31588
"1145",1391
"1146",30723
"1147",32817
"1148",34636
"1149",8196
"1150",5217
"1151",38882
"1152",1670
"1153",34695
"1154",38648
"1155",39226
"1156",34008
"1157",29755
"1158",2741
"1159",2758
"1160",29603
"1161",30205
"1162",1328
"1163",33031
"1164",10731
"1165",34543
"1166",36395
"1167",26285
"1168",7472
"1169",26277
"1170",39762
"1171",35834
"1172",5631
"1173",13115
"1174",36419
"1175",30970
"1176",37547
"1177",24171
"1178",1378
"1179",30965
"1180",44087
"1181",3498
"1182",11663
"1183",2951
"1184",1292
"1185",39119
"1186",32716
"1187",36583
"1188",14617
"1189",10483
"1190",36411
"1191",18771
"1192",1265
"1193",4664
"1194",11281
"1195",2216
"1196",10048
"1197",18583
"1198",9455
"1199",5168
"1200",4970
"1201",32572
"1202",32122
"1203",31785
"1204",39917
"1205",30173
"1206",7588
"1207",39505
"1208",39263
"1209",34183
"1210",5189
"1211",7176
"1212",25589
"1213",40468
"1214",20175
"1215",38074
"1216",39869
"1217",22455
"1218",41813
"1219",21475
"1220",39891
"1221",18575
"1222",23661
"1223",8717
"1224",3180
"1225",34667
"1226",22639
"1227",30026
"1228",39758
"1229",21943
"1230",36550
"1231",10855
"1232",19613
"1233",33871
"1234",39820
"1235",3800
"1236",41384
"1237",41638
"1238",31883
"1239",38378
"1240",4905
"1241",37752
"1242",38613
"1243",15961
"1244",35642
"1245",40532
"1246",20115
"1247",20125
"1248",10967
"1249",2706
"1250",22507
"1251",10869
"1252",33540
"1253",4103
"1254",24441
"1255",38071
"1256",47410
"1257",38631
"1258",27457
"1259",917
"1260",2709
"1261",41115
"1262",38379
"1263",3434
"1264",35541
"1265",2705
"1266",378
